question_id,question,system,answer,sources,correctness,relevance,completeness
Q06,What documents do I need to provide when applying for a Student visa?,LLM-only,"As a UK immigration advisor, I can confirm that when applying for a Student visa (formerly Tier 4), you will generally need to provide the following documents:

1. **Valid passport or travel document**
2. **Confirmation of Acceptance for Studies (CAS)** reference number from your licensed sponsor
3. **Proof of financial support** – bank statements showing you have enough money to cover your course fees and living costs for a set period (usually 28 consecutive days)
4. **Proof of English language proficiency** – e.g. a Secure English Language Test (SELT) certificate, unless exempt
5. **Academic qualifications** – as listed on your CAS (e.g. certificates or transcripts)
6. **Tuberculosis (TB) test results** – if you are from a country where the test is required and you are coming to the UK for more than 6 months
7. **ATAS certificate** – if your course and nationality require it (for certain sensitive subjects at postgraduate level)
8. **Parental or legal guardian consent** – if you are under 18
9. **Proof of relationship to your parent/guardian** – if you are under 18 and using their financial evidence
10. **Translations** – any document not in English or Welsh must be accompanied by a certified translation

You may also need to provide **biometric information** (fingerprints and photograph) as part of the application process.

Would you like guidance on the specific financial requirements or the English language evidence?",,1,2,2
Q06,What documents do I need to provide when applying for a Student visa?,RAG,"According to the official UK government website, when you apply for your Student visa you must provide:

- a current passport or other valid travel documentation
- a Confirmation of Acceptance for Studies (CAS) from your course provider

You may also need to provide:

- proof you have enough money to support yourself and pay for your course – this will vary depending on your circumstances
- a valid ATAS certificate if your course and nationality require it
- proof of parental or other legal guardian consent if you’re under 18
- proof of your relationship to your parent or guardian if you’re under 18
- your tuberculosis test results
- written consent for your application from your financial sponsor if you’ve received sponsorship for your course fees and living costs in the last 12 months

Source: https://www.gov.uk/student-visa/documents-you-must-provide and https://www.gov.uk/student-visa/print

For detailed guidance tailored to your circumstances, please check the official UK government website or consult a professional immigration adviser.",https://www.gov.uk/student-visa/documents-you-must-provide?step-by-step-nav=cafcc40a-c1ff-4997-adb4-2fef47af194d | https://www.gov.uk/student-visa/print | https://www.gov.uk/apply-to-come-to-the-uk | https://www.gov.uk/government/publications/student-sponsor-guidance/sponsorship-duties-accessible,2,2,2
Q07,Do all Student visa applicants need to provide financial evidence?,LLM-only,"No, not all Student visa applicants need to provide financial evidence at the time of application. Whether you must submit financial documents depends on your nationality, where you are applying from, and how long you have been in the UK with valid permission.

**Who is exempt from providing financial evidence?**

You do **not** need to provide financial evidence if you are a national of a country listed under the “differential evidence requirement” (also known as Appendix Student, paragraph ST 22.1). This includes countries such as:

- Australia
- Canada
- Japan
- New Zealand
- Singapore
- South Korea
- The United States
- Hong Kong (SAR)
- Malaysia
- And others on the Home Office list

You are also exempt if you have been in the UK with valid permission for at least 12 months on the date of application.

**Important caveat**

Even if you are exempt from *providing* the documents, you must still **meet the financial requirement** and be able to produce the evidence if the Home Office requests it. The exemption only removes the obligation to submit the documents with your application; it does not remove the underlying requirement.

**Who must provide financial evidence?**

If you are not a national of a differential evidence country and have not been in the UK for 12 months or more, you must provide specified financial documents showing you have the required funds for your course fees and living costs.

**Summary**

| Situation | Must submit financial evidence? |
|---|---|
| National of a differential evidence country | No (but must still meet the requirement) |
| In the UK with valid permission for 12+ months | No (but must still meet the requirement) |
| All other applicants | Yes |

If you are unsure whether you qualify for an exemption, you should check the current Home Office list of differential evidence countries or seek professional advice before applying.",,2,2,2
Q07,Do all Student visa applicants need to provide financial evidence?,RAG,"No, not all Student visa applicants need to provide financial evidence at the time of application.

According to the provided sources, you may need to provide proof you have enough money to support yourself and pay for your course, but this will vary depending on your circumstances. The guidance states:

- “You may also need to provide: proof you have enough money to support yourself and pay for your course - this will vary depending on your circumstances” (Source 3)
- “If you do need to provide it, you’ll be contacted by UK Visas and Immigration (UKVI) after you’ve submitted your application.” (Source 1 and Source 2)

For detailed guidance on whether you personally need to provide financial evidence, please check the official UK government website or consult a professional immigration adviser.",https://www.gov.uk/student-visa/print | https://www.gov.uk/student-visa/money | https://www.gov.uk/student-visa/documents-you-must-provide?step-by-step-nav=cafcc40a-c1ff-4997-adb4-2fef47af194d | https://www.gov.uk/uk-family-visa/child,1,2,1
Q08,I have already paid part of my university tuition fee. How does this affect the amount of money I need to show for my Student visa?,LLM-only,"As a UK immigration advisor, I can confirm that any tuition fee payments you have already made to your university **can be deducted** from the total amount of money you need to show for your Student visa maintenance (financial) requirement.

Here is how it works in practice:

### 1. Tuition fees
- You must show that you have enough money to cover **the outstanding balance** of your first year's tuition fees (or the entire course fees if your course is less than one year).
- If you have already paid a portion of your fees, the amount you have paid can be **offset** against the total tuition fee amount.
- **Evidence required:** You must provide a **receipt or official letter from your university** confirming:
  - The total tuition fee for the first year (or full course if shorter);
  - The amount you have already paid;
  - The outstanding balance (if any);
  - The date the payment was received.

The letter must be on official university letterhead and clearly state that the payment has been received by the institution.

### 2. Living costs (maintenance)
- Your tuition fee payment **does not** reduce the amount you need to show for living costs.
- You must still demonstrate the full maintenance requirement:
  - **£1,334 per month** (for up to 9 months) if studying in London;
  - **£1,023 per month** (for up to 9 months) if studying outside London.
- This is a fixed amount and is not affected by any tuition fee payments.

### Example
If your first year's tuition fee is £15,000 and you have already paid £5,000:
- You need to show **£10,000** for outstanding tuition fees, **plus**
- The full maintenance amount (e.g., £9,207 if studying outside London for a course of 9 months or longer).

### Important notes
- The money you show must have been held in your account (or your parent's/legal guardian's account) for **at least 28 consecutive days** ending no more than 31 days before your application date.
- If you are using a parent's account, you will also need to provide proof of your relationship and consent.
- If you are a **low-risk national** or applying from certain countries, you may not need to provide financial evidence with your application, but you should still ensure you meet the requirement in case you are asked.

Would you like guidance on the specific documents you need to provide for the tuition fee payment evidence?",,1,2,2
Q08,I have already paid part of my university tuition fee. How does this affect the amount of money I need to show for my Student visa?,RAG,"Based on the provided context, if you have already paid all or part of your course fees to your student sponsor, this can reduce the amount of money you need to show for your Student visa.

According to **Source 3** (Immigration Rules):

> ""ST 12.5. If the applicant has paid all or part of their course fees to their student sponsor this must be confirmed on the Confirmation of Acceptance for Studies, or the applicant must provide a receipt issued by the student sponsor confirming the amount of fees paid.""

This means the amount you have already paid can be offset against the total course fees you are required to show. The payment must be evidenced either on your CAS or by providing a receipt from your university or college.

Additionally, **Source 1** confirms that you need enough money to pay for your course for 1 academic year (up to 9 months), and the amount will be stated on your CAS. If you have already paid part of the fees, the remaining amount you need to demonstrate would be reduced accordingly, provided the payment is properly documented as described above.

For detailed guidance on how to evidence fee payments, please check the official UK government website or consult your university's international student adviser.",https://www.gov.uk/student-visa/money | https://www.gov.uk/student-finance/continuing-fulltime-students?step-by-step-nav=18045f76-ac04-41b7-b147-5687d8fbb64a | immigration_data\immigration_rules_full_20260630.pdf | https://www.gov.uk/student-finance/parttime-students?step-by-step-nav=18045f76-ac04-41b7-b147-5687d8fbb64a,2,2,2
Q09,What salary do I normally need to qualify for a Skilled Worker visa?,LLM-only,"For a UK Skilled Worker visa, you normally need to be paid at least **£38,700 per year** (gross), or the **“going rate” for your specific occupation code**, whichever is **higher**.

This is the standard threshold for most applicants applying from 4 April 2024 onwards.

There are some important exceptions and reductions, including:

- **New entrants** (e.g. under 26, switching from a Student visa, or in post-doctoral roles): the threshold is usually **£30,960 per year** or 70% of the going rate, whichever is higher.
- **Shortage occupation / Immigration Salary List roles**: the threshold is usually **£30,960 per year** or 80% of the going rate, whichever is higher.
- **Health and care sector roles**: different, generally lower thresholds apply.
- **PhD holders**: the general threshold can be reduced to **£34,830** (relevant PhD) or **£36,300** (STEM PhD), subject to the going rate.

The salary must be for a genuine job offer from a licensed sponsor, and you must be paid at or above both the general threshold and the specific going rate for your occupation code.

If you tell me the occupation or SOC code, I can check the specific going rate for you.",,0,2,2
Q09,What salary do I normally need to qualify for a Skilled Worker visa?,RAG,"Based on the provided context, you normally need to be paid at least the minimum salary rate for the type of work you’ll be doing. The minimum salary is whichever is the highest of:

- £41,700 per year
- the ‘going rate’ for the type of work you’ll be doing

This is stated in Source 2 and Source 3.

The minimum salary may be lower if you’re extending your Skilled Worker visa, updating it because you have a new job or employer, or switching to this visa to become a prison officer (Source 2, Source 3).

Additionally, if your job is on the Immigration Salary List, you must be paid at least either £33,400 per year or the ‘standard going rate’ for the type of work you’ll be doing (Source 4).",https://www.gov.uk/skilled-worker-visa/when-you-can-be-paid-less | https://www.gov.uk/skilled-worker-visa/your-job | https://www.gov.uk/skilled-worker-visa/print | https://www.gov.uk/indefinite-leave-to-remain-tier-2-t2-skilled-worker-visa/print,2,2,2
Q10,Does any job offer from a UK company allow me to apply for a Skilled Worker visa?,LLM-only,"No, not any job offer from a UK company allows you to apply for a Skilled Worker visa. The job offer must meet several specific requirements:

**Key requirements:**

1. **Licensed sponsor** – The employer must hold a valid Skilled Worker sponsor licence from the Home Office.

2. **Eligible occupation** – The job must be in an occupation code listed on the Home Office's eligible occupations list (Appendix Skilled Occupations). Not all jobs qualify.

3. **Skill level** – The role must be at RQF Level 3 or above (roughly A-level equivalent or higher).

4. **Minimum salary** – You must be paid at least the general salary threshold (currently £38,700 per year) or the ""going rate"" for the specific occupation, whichever is higher. Some exceptions apply (e.g., new entrants, shortage occupations, certain health/education roles).

5. **Certificate of Sponsorship (CoS)** – The employer must assign you a valid Certificate of Sponsorship.

6. **English language** – You must prove your English ability (usually B1 level or above).

7. **Maintenance funds** – You must show you have enough savings to support yourself unless your sponsor certifies maintenance.

So while a job offer is a necessary first step, it is not sufficient on its own. The employer, the role, and the salary must all meet the Home Office's criteria.",,1,2,2
Q10,Does any job offer from a UK company allow me to apply for a Skilled Worker visa?,RAG,"No, not any job offer from a UK company allows you to apply for a Skilled Worker visa.

According to the official guidance, to qualify you must:

- work for a UK employer that’s been approved by the Home Office
- have a ‘certificate of sponsorship’ from your employer with information about the role you’ve been offered
- do a job that’s on the list of eligible occupations
- be paid a minimum salary, which depends on the type of work and the date you got your certificate of sponsorship

Source: https://www.gov.uk/skilled-worker-visa and https://www.gov.uk/skilled-worker-visa/your-job

In addition, the employer must be an approved sponsor. If your employer is not currently approved, they can apply for a sponsor licence if they are eligible.

Source: https://www.gov.uk/skilled-worker-visa/print",https://www.gov.uk/skilled-worker-visa | https://www.gov.uk/skilled-worker-visa/print | https://www.gov.uk/skilled-worker-visa/your-job,2,2,2
Q11,How much money do I need to pay and have available when applying for a Skilled Worker visa?,LLM-only,"As a UK immigration adviser, I can give you a clear breakdown of the costs and funds you need for a Skilled Worker visa application. The exact amount depends on your personal circumstances, but here are the key figures.

---

### 1. Application fee

This depends on:

- whether you are applying from inside or outside the UK
- the length of your visa
- whether your job is on the Immigration Salary List or a shortage occupation

**Standard fees from outside the UK:**

| Length of visa | Standard fee |
|----------------|--------------|
| Up to 3 years | £719 |
| More than 3 years | £1,420 |

**Standard fees from inside the UK:**

| Length of visa | Standard fee |
|----------------|--------------|
| Up to 3 years | £827 |
| More than 3 years | £1,636 |

**Shortage occupation / Immigration Salary List roles:**

| Length of visa | Outside UK | Inside UK |
|----------------|------------|-----------|
| Up to 3 years | £551 | £551 |
| More than 3 years | £1,084 | £1,084 |

---

### 2. Immigration Health Surcharge

You must pay the Immigration Health Surcharge as part of the application.

The rate is **£1,035 per year** for most Skilled Worker applicants.

- If your visa is for 3 years, you pay £3,105.
- If your visa is for 5 years, you pay £5,175.

The surcharge is paid upfront for the full length of the visa.

---

### 3. Maintenance funds

You must show you have enough money to support yourself when you arrive in the UK.

The requirement is:

- **£1,270** available in your bank account for at least 28 consecutive days before you apply.

This requirement is waived if:

- you have been in the UK on a valid visa for at least 12 months, or
- your sponsor is an A-rated licensed sponsor and certifies maintenance on your Certificate of Sponsorship.

---

### 4. Biometric enrolment fee

You will usually need to provide biometric information.

- Many applicants can use the UK Immigration: ID Check app at no extra cost.
- If you attend a biometric appointment, there may be a fee, typically around **£20–£140** depending on the service and location.

---

### 5. Optional priority services

If you want a faster decision:

- **Priority service:** around £500
- **Super priority service:** around £1,000

These are optional and availability varies.

---

### Example total for a 3-year Skilled Worker visa from outside the UK

| Item | Cost |
|------|------|
| Application fee | £719 |
| Immigration Health Surcharge | £3,105 |
| Maintenance funds | £1,270 |
| **Total payable to UKVI** | **£3,824** |
| **Total including funds you must hold** | **£5,094** |

---

### Important notes

- The maintenance funds are not paid to the Home Office; they must simply be available in your account.
- If you are applying with dependants, you will need to pay additional fees and health surcharges for each dependant, and show additional maintenance funds.
- Fees are subject to change, so always check the official GOV.UK Skilled Worker visa page before applying.

Would you like me to calculate the costs for your specific situation, including dependants or a different visa length?",,1,2,2
Q11,How much money do I need to pay and have available when applying for a Skilled Worker visa?,RAG,"Based on the provided context, when you apply for a Skilled Worker visa, you’ll need to have enough money to:

- **Pay the application fee** – the standard fee ranges from **£819 to £1,865** depending on your circumstances.  
- **Pay the healthcare surcharge** – this is usually **£1,035 per year**.  
- **Support yourself when you arrive in the UK** – you’ll usually need to have at least **£1,270 available** (unless you’re exempt).  

You’ll pay a lower application fee if your job is on the immigration salary list. You’ll be told how much you need to pay when you apply.

This information is stated in both Source 1 and Source 2 from the official UK government website.",https://www.gov.uk/skilled-worker-visa/how-much-it-costs | https://www.gov.uk/skilled-worker-visa/print | https://www.gov.uk/skilled-worker-visa/when-you-can-be-paid-less | https://www.gov.uk/indefinite-leave-to-remain-tier-2-t2-skilled-worker-visa/print,2,2,2
Q12,My occupation is on the Immigration Salary List. Does that change the salary requirement for my Skilled Worker visa?,LLM-only,"Yes, it can. If your occupation code is on the Immigration Salary List (ISL), you may be able to be sponsored under the Skilled Worker route with a lower general salary threshold and/or a lower going rate than would otherwise apply.

The key points are:

- **General threshold reduction:** The standard general salary threshold is £38,700 per year. If your job is on the ISL, the general threshold is reduced to £30,960 per year (or the hourly equivalent).

- **Going rate reduction:** The “going rate” for the occupation is also reduced. For ISL occupations, the going rate is set at 90% of the standard going rate for that occupation code, rather than 100%.

- **You must still be paid the higher of the two:** You need to be paid at least the higher of:
  - the reduced general threshold (£30,960), or
  - 90% of the going rate for your specific occupation code, or
  - the hourly rate floor, currently £11.90 per hour.

- **New entrants:** If you qualify as a new entrant, the salary requirements are lower again, and ISL status can still be relevant, but the new entrant discount and ISL discount are not simply stacked in all cases—you need to check the specific figures for your occupation code.

- **Health and Care Worker visas:** If you are applying under the Health and Care Worker visa, different, lower thresholds apply, and the ISL may not be the relevant factor.

- **Transitional arrangements:** If you were already sponsored under the Skilled Worker route before 4 April 2024 and are extending or changing employer, transitional lower thresholds may apply, which can be more generous than the ISL reduction in some cases.

You should check the exact going rate for your specific occupation code in the relevant Appendix Skilled Occupations table, because the final required salary depends on your individual SOC code, not just the fact that it is on the ISL.",,0,2,2
